area_type,location,size,total_sqft,bath,balcony,price,bed_bath,price_per_sqft
Super built-up  Area,Sarjapur  Road,2,1060.0,2,1,55.0,344.0,5188.679
Super built-up  Area,Raja Rajeshwari Nagar,2,1267.0,2,1,54.35,344.0,4289.661
Super built-up  Area,Whitefield,2,1155.0,2,2,55.0,344.0,4761.905
Built-up  Area,Karuna Nagar,3,2500.0,3,2,180.0,516.0,7200.0
Super built-up  Area,Bannerghatta Road,2,1240.0,2,1,65.0,344.0,5241.935
Super built-up  Area,Gollahalli,3,1570.0,3,2,78.0,516.0,4968.153
Super built-up  Area,NGR Layout,2,1019.0,2,1,45.9,344.0,4504.416
Super built-up  Area,Whitefield,2,1355.0,3,3,76.0,384.0,5608.856
Super built-up  Area,Arekempanahalli,3,1537.0,3,2,110.0,516.0,7156.799
Super built-up  Area,Whitefield,4,4075.0,5,3,226.0,728.0,5546.012
Super built-up  Area,Raja Rajeshwari Nagar,3,1550.0,3,3,52.45,516.0,3383.871
Built-up  Area,Raja Rajeshwari Nagar,2,1100.0,2,1,50.0,344.0,4545.455
Super built-up  Area, Devarabeesana Halli,3,1750.0,3,2,150.0,516.0,8571.429
Super built-up  Area,9th Phase JP Nagar,2,1466.0,2,2,71.0,344.0,4843.111
Super built-up  Area,Rachenahalli,3,1550.0,3,2,72.5,516.0,4677.419
Super built-up  Area,Akshaya Nagar,3,2300.0,4,3,102.0,556.0,4434.783
Super built-up  Area,Kengeri,1,540.0,1,1,22.5,172.0,4166.667
Super built-up  Area,Silk Board,2,1020.0,2,3,48.0,344.0,4705.882
Super built-up  Area,Hebbal,3,1987.0,4,2,165.0,556.0,8303.976
Super built-up  Area,Hoodi,2,1305.0,2,1,75.0,344.0,5747.126
Built-up  Area,Sarjapur,4,2100.0,3,1,125.0,648.0,5952.381
Built-up  Area,Electronic City,2,1125.0,2,1,32.5,344.0,2888.889
Super built-up  Area,Horamavu Banaswadi,2,1225.0,2,2,49.5,344.0,4040.816
Super built-up  Area,Hennur,2,1255.0,2,1,55.5,344.0,4422.311
Super built-up  Area,MRCR Layout,2,1191.0,2,1,90.0,344.0,7556.675
Built-up  Area,Electronic City,2,1165.0,2,1,33.64,344.0,2887.554
Super built-up  Area,Kacharakanahalli,2,865.0,2,1,35.11,344.0,4058.96
Super built-up  Area,Nagarbhavi,3,1850.0,2,2,88.0,476.0,4756.757
Super built-up  Area,Marsur,2,497.0,1,1,17.0,304.0,3420.523
Super built-up  Area,Hennur Road,2,1232.0,2,2,89.0,344.0,7224.026
Super built-up  Area,Thanisandra,3,1732.0,3,3,85.73,516.0,4949.769
Super built-up  Area,Yelahanka,3,1614.0,2,1,100.0,476.0,6195.787
Built-up  Area,Magadi Road,2,600.0,1,1,22.0,304.0,3666.667
Super built-up  Area,Thigalarapalya,3,2072.0,4,2,155.0,556.0,7480.695
Super built-up  Area,Electronic City,2,919.0,2,2,34.0,344.0,3699.674
Built-up  Area,Shettihalli,4,2100.0,4,1,90.0,688.0,4285.714
Built-up  Area,Shampura,4,672.0,3,1,54.0,648.0,8035.714
Built-up  Area,Doctors Layout,2,1000.0,2,2,42.0,344.0,4200.0
Super built-up  Area,Whitefield,2,1216.0,2,1,75.0,344.0,6167.763
Super built-up  Area,Lingadheeranahalli,4,2245.0,4,2,154.0,688.0,6859.688
Super built-up  Area,Bannerghatta Road,3,1476.0,3,1,125.0,516.0,8468.835
Super built-up  Area,Ambedkar Nagar,3,1852.0,3,2,130.0,516.0,7019.438
Super built-up  Area,Udaya Nagar,2,1225.0,2,2,47.0,344.0,3836.735
Super built-up  Area,Panathur,3,1597.0,3,1,67.12,516.0,4202.88
Super built-up  Area,Jakkur,3,2423.0,4,3,160.0,556.0,6603.384
Super built-up  Area,Marathahalli,2,1152.0,2,1,90.0,344.0,7812.5
Super built-up  Area,Harlur,3,1762.0,3,2,133.0,516.0,7548.241
Plot  Area,Kammasandra,3,1400.0,3,2,92.0,516.0,6571.429
Super built-up  Area,Rachenahalli,3,1530.0,2,2,74.4,476.0,4862.745
Super built-up  Area,Raja Rajeshwari Nagar,2,1185.0,2,2,40.17,344.0,3389.873
Super built-up  Area,Yelahanka,3,1890.0,3,2,108.0,516.0,5714.286
Super built-up  Area,Varthur Road,3,1247.0,2,2,58.0,476.0,4651.163
Super built-up  Area,Bellandur,2,1201.0,2,2,59.99,344.0,4995.004
Built-up  Area,Gunjur Palya,2,830.0,2,2,40.0,344.0,4819.277
Built-up  Area,Electronic City Phase II,2,1165.0,2,1,30.29,344.0,2600.0
Super built-up  Area,Bommanahalli,2,1100.0,1,2,55.0,304.0,5000.0
Super built-up  Area,Maithri Layout,3,1685.0,3,2,60.0,516.0,3560.831
Super built-up  Area,Battarahalli,2,1165.0,2,1,43.0,344.0,3690.987
Super built-up  Area,Kachanayakanahalli,2,827.0,2,1,45.0,344.0,5441.354
Built-up  Area,Electronics City Phase 1,1,635.0,1,0,26.0,172.0,4094.488
Built-up  Area,Whitefield,4,4000.0,4,3,380.0,688.0,9500.0
Super built-up  Area,Vishwanatha Nagenahalli,2,1050.0,2,1,50.0,344.0,4761.905
Super built-up  Area,Jakkur,3,1819.18,3,2,168.0,516.0,9234.93
Plot  Area,Kanakapura,3,1500.0,3,3,125.0,516.0,8333.333
Super built-up  Area,Yelenahalli,3,1500.0,2,2,57.0,476.0,3800.0
Super built-up  Area,Raja Rajeshwari Nagar,3,1751.0,3,3,72.0,516.0,4111.936
Super built-up  Area,Bommasandra,2,1020.0,2,1,40.89,344.0,4008.824
Super built-up  Area,Thanisandra,2,1148.0,2,1,43.5,344.0,3789.199
Super built-up  Area,Talaghattapura,3,1856.0,3,2,135.0,516.0,7273.707
Super built-up  Area,B Narayanapura,2,1060.0,2,1,49.27,344.0,4648.113
Built-up  Area,Haralur Road,2,1300.0,2,2,60.0,344.0,4615.385
Built-up  Area,Hormavu,4,3000.0,4,0,100.0,688.0,3333.333
Super built-up  Area,Bellandur,2,1325.0,2,2,65.0,344.0,4905.66
Super built-up  Area,Sai Gardens,2,1261.0,2,2,61.0,344.0,4837.431
Super built-up  Area,Manayata Tech Park,2,1100.0,2,2,46.0,344.0,4181.818
Built-up  Area,Ramamurthy Nagar,2,700.0,2,1,33.0,344.0,4714.286
Super built-up  Area,7th Phase JP Nagar,3,1675.0,2,2,135.0,476.0,8059.701
Plot  Area,Ullal Road,4,3400.0,4,2,190.0,688.0,5588.235
Super built-up  Area,Doddakammanahalli,2,1180.0,2,2,56.0,344.0,4745.763
Built-up  Area,Uttarahalli,2,1160.0,2,2,45.0,344.0,3879.31
Super built-up  Area,Kasavanhalli,4,1863.0,3,2,105.0,648.0,5636.071
Super built-up  Area,Sahakara Nagar,3,1914.0,3,2,149.0,516.0,7784.744
Super built-up  Area,BTM Layout,3,1458.0,3,2,79.0,516.0,5418.381
Plot  Area,Thirumenahalli,5,1200.0,4,2,115.0,820.0,9583.333
Built-up  Area,Babusapalaya,2,1105.0,2,1,40.0,344.0,3619.91
Super built-up  Area,Hulimavu,3,3035.0,5,3,220.0,596.0,7248.764
Super built-up  Area,Yelahanka,3,1556.0,3,2,86.0,516.0,5526.992
Super built-up  Area,Jigani,2,918.0,2,2,50.0,344.0,5446.623
Super built-up  Area,Sarjapur  Road,3,1455.0,2,1,98.0,476.0,6735.395
Super built-up  Area,Jakkasandra Extension,2,1205.0,2,1,70.0,344.0,5809.129
Super built-up  Area,BEML Layout,2,1194.0,2,1,65.0,344.0,5443.886
Plot  Area,Laggere,2,1200.0,2,0,75.0,344.0,6250.0
Built-up  Area,Bannerghatta Road,3,1100.0,2,2,52.0,476.0,4727.273
Super built-up  Area,Sarjapur  Road,3,1405.0,3,2,48.87,516.0,3478.292
Super built-up  Area,Subramanyapura,2,929.0,2,1,56.0,344.0,6027.987
Super built-up  Area,7th Phase JP Nagar,2,1035.0,2,1,39.33,344.0,3800.0
Super built-up  Area,8th Phase JP Nagar,4,2100.0,4,3,92.0,688.0,4380.952
Super built-up  Area,Channasandra,2,1065.0,2,1,40.47,344.0,3800.0
Super built-up  Area,Bannerghatta Road,3,1532.5,3,0,84.29,516.0,5500.163
Plot  Area,Hullahalli,5,1200.0,5,2,99.0,860.0,8250.0
Super built-up  Area,Hormavu,2,1093.0,2,1,32.78,344.0,2999.085
Built-up  Area,Anandapura,2,1250.0,2,2,45.0,344.0,3600.0
Super built-up  Area,Marathahalli,3,1680.0,3,3,105.0,516.0,6250.0
Super built-up  Area,Nagarbhavi,2,1146.0,2,1,50.0,344.0,4363.002
Super built-up  Area,Jagajyothi layout,2,1250.0,2,3,58.0,344.0,4640.0
Super built-up  Area,Ramagondanahalli,3,1451.0,3,1,60.44,516.0,4165.403
Super built-up  Area,Nobo Nagar,3,1424.0,2,3,55.0,476.0,3862.36
Super built-up  Area,Gottigere,3,1435.0,2,3,62.0,476.0,4320.557
Super built-up  Area,Devanahalli,1,658.0,1,0,26.91,172.0,4089.666
Super built-up  Area,Bommanahalli,3,1300.0,3,2,45.0,516.0,3461.538
Super built-up  Area,Whitefield,2,1242.0,2,2,65.0,344.0,5233.494
Super built-up  Area,Marathahalli,3,1910.0,3,3,119.0,516.0,6230.366
Super built-up  Area,Yelahanka,3,1610.0,4,2,85.0,556.0,5279.503
Super built-up  Area,Hulimavu,2,1127.0,2,1,65.0,344.0,5767.524
Super built-up  Area,Yelahanka,3,1075.0,2,1,42.0,476.0,3906.977
Super built-up  Area,Mysore Road,2,1155.0,2,1,51.0,344.0,4415.584
Super built-up  Area,Krishna Reddy Layout,3,1250.0,3,1,55.0,516.0,4400.0
Plot  Area,Kuvempu Layout,3,2200.0,4,2,160.0,556.0,7272.727
Built-up  Area,Billekahalli,3,2400.0,3,1,150.0,516.0,6250.0
Super built-up  Area,Chandapura,2,876.0,2,2,29.5,344.0,3367.58
Super built-up  Area,Nagarbhavi,3,1850.0,2,2,89.0,476.0,4810.811
Super built-up  Area,Kadugodi,2,1314.0,2,3,83.0,344.0,6316.591
Super built-up  Area,Rachenahalli,1,690.0,1,1,39.8,172.0,5768.116
Built-up  Area,Srirampura,2,1230.0,2,3,55.0,344.0,4471.545
Super built-up  Area,Bommasandra,2,920.0,2,1,37.2,344.0,4043.478
Built-up  Area,Sarjapur  Road,3,1850.0,3,3,140.0,516.0,7567.568
Super built-up  Area,Electronic City,2,1073.0,2,2,60.0,344.0,5591.799
Super built-up  Area,Maithri Layout,3,1540.0,3,3,76.0,516.0,4935.065
Super built-up  Area,Kanakpura Road,3,1550.0,3,3,63.5,516.0,4096.774
Super built-up  Area,Kalyan nagar,2,1198.0,2,1,65.0,344.0,5425.71
Super built-up  Area,HBR Layout,3,1656.0,3,2,90.0,516.0,5434.783
Super built-up  Area,Kaveri Nagar,3,1900.0,3,3,155.0,516.0,8157.895
Built-up  Area,Ramagondanahalli,3,1910.0,3,2,142.0,516.0,7434.555
Super built-up  Area,Mysore Road,2,1003.0,2,1,43.0,344.0,4287.139
Super built-up  Area,Thanisandra,3,2172.0,3,2,76.02,516.0,3500.0
Plot  Area,T G extension,2,1200.0,1,2,95.0,304.0,7916.667
Super built-up  Area,Whitefield,3,1548.0,3,1,65.0,516.0,4198.966
Super built-up  Area,Whitefield,4,2856.0,5,0,154.5,728.0,5409.664
Super built-up  Area,Hosur Road,3,1689.0,3,1,103.0,516.0,6098.283
Super built-up  Area,Electronic City Phase II,2,1031.0,2,1,53.0,344.0,5140.64
Super built-up  Area,Bhoganhalli,4,2119.0,4,2,111.0,688.0,5238.32
Plot  Area,Whitefield,2,1200.0,2,2,46.13,344.0,3844.167
Super built-up  Area,JCR Layout,2,1060.0,2,2,37.0,344.0,3490.566
Super built-up  Area,Devi Nagar,2,1100.0,2,1,61.0,344.0,5545.455
Plot  Area,Gandhi Nagar,5,1050.0,4,1,80.0,820.0,7619.048
Super built-up  Area,Hennur Road,3,1250.0,2,1,77.88,476.0,6230.4
Super built-up  Area,8th Block Jayanagar,2,1100.0,2,2,110.0,344.0,10000.0
Plot  Area,Whitefield,2,1200.0,2,1,46.13,344.0,3844.167
Super built-up  Area,Seegehalli,3,1420.0,2,2,46.0,476.0,3239.437
Super built-up  Area,Electronic City,3,1500.0,2,1,78.0,476.0,5200.0
Built-up  Area,OLd Gurappanapalya,3,1942.0,3,1,155.0,516.0,7981.462
Super built-up  Area,Haralur Road,3,1985.0,3,2,130.0,516.0,6549.118
Super built-up  Area,Sarjapur  Road,1,950.0,1,0,39.9,172.0,4200.0
Plot  Area,AMS Layout,3,1200.0,4,2,80.0,556.0,6666.667
Super built-up  Area,Green Glen Layout,3,1752.0,3,2,105.0,516.0,5993.151
Plot  Area,Abbigere,4,1200.0,3,2,120.0,648.0,10000.0
Super built-up  Area,Old Madras Road,3,1480.0,2,2,84.0,476.0,5675.676
Super built-up  Area,Sarjapur  Road,3,1826.0,3,2,130.0,516.0,7119.387
Super built-up  Area,8th Phase JP Nagar,2,1035.0,2,1,39.33,344.0,3800.0
Built-up  Area,Kasavanhalli,3,1667.0,3,2,92.0,516.0,5518.896
Super built-up  Area,Thanisandra,2,934.0,2,2,55.0,344.0,5888.651
Built-up  Area,JP Nagar,3,909.872467,3,1,69.34,516.0,7620.848
Super built-up  Area,Mahadevpura,3,1620.0,2,1,76.0,476.0,4691.358
Super built-up  Area,Electronic City,2,1070.0,2,1,47.0,344.0,4392.523
Built-up  Area,Hosur Road,5,3600.0,5,3,180.0,860.0,5000.0
Super built-up  Area,Uttarahalli,3,1280.0,2,2,60.0,476.0,4687.5
Super built-up  Area,rr nagar,2,1400.0,2,2,60.0,344.0,4285.714
Built-up  Area,"Varthur Road, ",2,1330.0,2,1,64.0,344.0,4812.03
Super built-up  Area,Balagere,2,1012.0,2,1,54.59,344.0,5394.269
Super built-up  Area,Electronic City Phase II,3,1611.0,2,2,48.33,476.0,3000.0
Super built-up  Area,Whitefield,3,1405.0,3,2,58.0,516.0,4128.114
Super built-up  Area,VGP Layout,3,1515.0,3,3,90.0,516.0,5940.594
Super built-up  Area,Thigalarapalya,3,1830.0,4,2,150.0,556.0,8196.721
Built-up  Area,Kaggadasapura,3,1710.0,3,0,60.0,516.0,3508.772
Built-up  Area,BTM Layout,2,935.0,2,1,51.5,344.0,5508.021
Super built-up  Area,Jakkur,3,2197.0,3,2,136.0,516.0,6190.259
Built-up  Area,Brookefield,3,1410.0,2,0,80.0,476.0,5673.759
Super built-up  Area,Jakkur,2,1125.0,2,2,65.0,344.0,5777.778
Super built-up  Area,Magadi Road,3,1191.0,2,1,55.38,476.0,4649.874
Super built-up  Area,Thubarahalli,2,1200.0,2,2,79.0,344.0,6583.333
Super built-up  Area,CV Raman Nagar,3,1525.0,2,3,67.0,476.0,4393.443
Super built-up  Area,KUDLU MAIN ROAD,3,1464.0,3,3,56.0,516.0,3825.137
Super built-up  Area,Seegehalli,2,920.0,2,1,27.0,344.0,2934.783
Built-up  Area,Yelahanka,1,651.0,1,1,17.5,172.0,2688.172
Super built-up  Area,Chikkabanavar,2,600.0,1,2,25.0,304.0,4166.667
Super built-up  Area,Chandapura,1,645.0,1,1,16.45,172.0,2550.388
Super built-up  Area,Thanisandra,2,1185.0,2,2,44.0,344.0,3713.08
Super built-up  Area,Electronics City Phase 1,2,1190.0,2,1,68.0,344.0,5714.286
Super built-up  Area,Whitefield,4,2856.0,5,0,158.5,728.0,5549.72
Super built-up  Area,Whitefield,2,1355.0,2,3,73.0,344.0,5387.454
Plot  Area,KR Puram,2,1200.0,1,0,65.0,304.0,5416.667
Super built-up  Area,Yelahanka New Town,1,500.0,2,1,24.0,212.0,4800.0
Super built-up  Area,Bommasandra Industrial Area,3,1250.0,3,3,50.0,516.0,4000.0
Built-up  Area,Uttarahalli,3,1480.0,2,1,58.0,476.0,3918.919
Built-up  Area,Ambalipura,4,3300.0,4,2,329.0,688.0,9969.697
Super built-up  Area,Green Woods Layout,2,1206.0,2,1,53.0,344.0,4394.693
Super built-up  Area,Rajaji Nagar,2,1357.0,2,1,130.0,344.0,9579.956
Built-up  Area,Hosakerehalli,2,925.0,2,1,46.5,344.0,5027.027
Super built-up  Area,8th Phase JP Nagar,2,909.0,2,1,40.9,344.0,4499.45
Built-up  Area,Brookefield,2,1100.0,2,1,55.0,344.0,5000.0
Super built-up  Area,Vidyaranyapura,2,1100.0,2,1,54.0,344.0,4909.091
Super built-up  Area,Subramanyapura,2,975.0,2,1,65.0,344.0,6666.667
Super built-up  Area,Raja Rajeshwari Nagar,2,1306.0,2,2,44.17,344.0,3382.083
Plot  Area,Roopena Agrahara,4,1200.0,4,1,95.0,688.0,7916.667
Super built-up  Area,Kalena Agrahara,1,610.0,1,1,39.0,172.0,6393.443
Super built-up  Area,Yelahanka,3,1484.0,2,2,56.4,476.0,3800.539
Super built-up  Area,Ramamurthy Nagar,2,1125.0,2,1,47.0,344.0,4177.778
Super built-up  Area,Bhoganhalli,2,1447.0,2,1,75.97,344.0,5250.173
Super built-up  Area,Whitefield,4,2882.0,5,1,158.0,728.0,5482.304
Super built-up  Area,Kundalahalli,3,2075.0,3,1,115.0,516.0,5542.169
Built-up  Area,Stage-4 Bommanahalli,2,1250.0,2,1,58.0,344.0,4640.0
Super built-up  Area,Horamavu Banaswadi,2,1272.0,2,2,51.5,344.0,4048.742
Super built-up  Area,Venkateshpuram,2,625.0,2,1,24.0,344.0,3840.0
Built-up  Area,1st Phase JP Nagar,1,840.0,2,2,50.0,212.0,5952.381
Super built-up  Area,Hennur Road,4,2502.0,4,2,180.0,688.0,7194.245
Super built-up  Area,Rayasandra,1,583.0,1,1,26.9,172.0,4614.065
Super built-up  Area,Gunjur Palya,2,900.0,2,1,27.0,344.0,3000.0
Super built-up  Area,Sarjapur  Road,2,1115.0,2,2,50.0,344.0,4484.305
Super built-up  Area,HOSUR MAIN ROAD,2,1464.0,2,2,56.0,344.0,3825.137
Built-up  Area,Kanakapura,3,2200.0,3,1,121.0,516.0,5500.0
Super built-up  Area,Whitefield,1,750.0,1,1,51.0,172.0,6800.0
Super built-up  Area,Marathahalli,3,1600.0,3,3,58.0,516.0,3625.0
Super built-up  Area,Chikkalasandra,3,1365.0,2,2,49.0,476.0,3589.744
Built-up  Area,"Judicial Layout, Kanakapura Road, ",3,1300.0,3,2,64.0,516.0,4923.077
Built-up  Area,Kurubarahalli,1,1200.0,1,0,69.0,172.0,5750.0
Super built-up  Area,Hormavu,2,1260.0,2,2,35.0,344.0,2777.778
Super built-up  Area,Electronics City Phase 1,2,1190.0,2,2,33.92,344.0,2850.42
Super built-up  Area,Vishwapriya Layout,3,1250.0,3,2,38.0,516.0,3040.0
Built-up  Area,Kaggadasapura,3,1500.0,3,0,75.0,516.0,5000.0
Super built-up  Area,Banashankari Stage V,3,1510.0,3,3,47.57,516.0,3150.331
Super built-up  Area,7th Phase JP Nagar,2,1187.0,2,1,59.0,344.0,4970.514
Super built-up  Area,Kundalahalli,2,1120.0,2,1,53.76,344.0,4800.0
Super built-up  Area,Whitefield,2,1115.0,2,0,34.555,344.0,3099.103
Super built-up  Area,Dodsworth Layout,3,1717.0,3,3,99.0,516.0,5765.871
Super built-up  Area,Kasturi Nagar,2,1100.0,2,2,58.0,344.0,5272.727
Plot  Area,Hegganahalli,1,1200.0,1,0,48.0,172.0,4000.0
Built-up  Area,Bannerghatta Road,3,1465.0,2,1,45.87,476.0,3131.058
Plot  Area,Kothanur,1,1500.0,1,0,75.0,172.0,5000.0
Super built-up  Area,Haralur Road,3,1255.0,2,1,90.0,476.0,7171.315
Super built-up  Area,5th Phase JP Nagar,2,1220.0,2,3,88.0,344.0,7213.115
Built-up  Area,Electronic City Phase II,2,1065.0,2,1,30.88,344.0,2899.531
Built-up  Area,Sultan Palaya,3,1765.0,3,3,80.0,516.0,4532.578
Super built-up  Area,Bellandur,2,1281.0,2,2,87.0,344.0,6791.569
Carpet  Area,Kaggadasapura,2,1215.0,2,3,43.0,344.0,3539.095
Plot  Area,Ananth Nagar,4,1200.0,3,1,87.0,648.0,7250.0
Super built-up  Area,Mysore Road,2,1237.0,2,2,73.0,344.0,5901.374
Super built-up  Area,Lakshminarayana Pura,2,1300.0,2,1,70.0,344.0,5384.615
Super built-up  Area,Whitefield,2,1105.0,2,2,39.99,344.0,3619.005
Super built-up  Area,Chandapura,3,1505.0,2,2,42.0,476.0,2790.698
Built-up  Area,Banashankari,2,1186.0,2,3,65.0,344.0,5480.607
Plot  Area,Byrathi Village,4,900.0,3,1,51.0,648.0,5666.667
Super built-up  Area,Kengeri,2,750.0,2,1,35.5,344.0,4733.333
Built-up  Area,Varthur,2,1083.0,2,2,28.0,344.0,2585.411
Built-up  Area,Nagaraja Garden,3,1430.0,2,1,78.65,476.0,5500.0
Super built-up  Area,Thanisandra,2,1056.0,2,2,68.0,344.0,6439.394
Super built-up  Area,VGP Layout,3,2108.0,3,3,85.0,516.0,4032.258
Super built-up  Area,Banashankari,3,1650.0,3,2,101.0,516.0,6121.212
Built-up  Area,Electronic City Phase II,3,1220.0,3,1,36.6,516.0,3000.0
Super built-up  Area,Rayasandra,2,1198.0,2,1,54.0,344.0,4507.513
Super built-up  Area,Ejipura,2,1190.0,2,1,70.0,344.0,5882.353
Built-up  Area,"Judicial Layout, Kanakapura Road, ",2,900.0,2,1,41.0,344.0,4555.556
Super built-up  Area,J.P.nagar 6th Phase.Sarakki Nagar,4,2690.0,4,2,185.0,688.0,6877.323
Built-up  Area,Kanakapura,2,1340.0,2,2,65.0,344.0,4850.746
Super built-up  Area,Yelahanka,2,1260.0,2,2,59.2,344.0,4698.413
Super built-up  Area,Talaghattapura,3,2254.0,3,2,153.0,516.0,6787.933
Super built-up  Area,Old Madras Road,3,2990.0,5,1,210.0,596.0,7023.411
Built-up  Area,JP Nagar,2,820.0,2,1,45.0,344.0,5487.805
Super built-up  Area,Electronic City,2,1296.0,2,2,65.0,344.0,5015.432
Super built-up  Area,Uttarahalli,2,1190.0,2,1,53.55,344.0,4500.0
Super built-up  Area,Whitefield,2,1173.0,2,1,77.0,344.0,6564.365
Plot  Area,Sarjapura - Attibele Road,3,1800.0,3,2,90.0,516.0,5000.0
Built-up  Area,Yelahanka,2,1102.0,2,0,52.0,344.0,4718.693
Super built-up  Area,Sarjapur,2,913.0,2,1,36.0,344.0,3943.045
Super built-up  Area,Hormavu,3,1176.0,2,1,35.27,476.0,2999.15
Super built-up  Area,Yelahanka,2,1519.0,2,3,65.0,344.0,4279.131
Super built-up  Area,Hosur Road,2,1345.0,2,2,106.0,344.0,7881.041
Super built-up  Area,Dodsworth Layout,3,1594.0,3,2,99.0,516.0,6210.79
Super built-up  Area,Kaverappa Layout,2,1250.0,2,1,68.0,344.0,5440.0
Super built-up  Area,Haralur Road,2,1056.0,2,1,60.0,344.0,5681.818
Plot  Area,Whitefield,3,1200.0,3,1,68.4,516.0,5700.0
Plot  Area,Kothnur Narayanapura,2,1290.0,1,0,77.5,304.0,6007.752
Built-up  Area,Amruthnagar,2,1150.0,2,1,48.0,344.0,4173.913
Super built-up  Area,Ambedkar Colony,2,1464.0,2,1,145.0,344.0,9904.372
Plot  Area,Anekal,4,1200.0,2,1,36.0,608.0,3000.0
Built-up  Area,Gollarapalya Hosahalli,2,861.0,2,0,36.5,344.0,4239.257
Super built-up  Area,Kundalahalli,2,1047.0,2,1,82.62,344.0,7891.117
Plot  Area,Lakshmipura,2,1200.0,2,0,75.0,344.0,6250.0
Built-up  Area,Hongasandra,2,1065.0,2,1,45.0,344.0,4225.352
Super built-up  Area,Ramamurthy Nagar,2,1000.0,2,1,62.0,344.0,6200.0
Super built-up  Area,Lingadheeranahalli,3,1682.0,3,1,113.0,516.0,6718.193
Super built-up  Area,Harlur,3,1756.0,3,2,131.0,516.0,7460.137
Super built-up  Area,Vignana Nagar,4,1050.0,4,2,90.0,688.0,8571.429
Super built-up  Area,Vittasandra,2,1238.0,2,1,67.32,344.0,5437.803
Super built-up  Area,Dasanapura,2,814.0,2,1,42.0,344.0,5159.705
Built-up  Area,Dodda Nekkundi,2,1145.0,2,1,46.5,344.0,4061.135
Super built-up  Area,Varthur,2,965.0,2,1,34.0,344.0,3523.316
Super built-up  Area,Doddabele,2,750.0,2,1,36.0,344.0,4800.0
Built-up  Area,Banashankari,3,1300.0,2,2,55.0,476.0,4230.769
Super built-up  Area,1st Phase JP Nagar,3,1590.0,3,3,131.0,516.0,8238.994
Super built-up  Area,Begur Road,1,644.0,1,1,40.0,172.0,6211.18
Super built-up  Area,Whitefield,2,982.0,2,1,37.0,344.0,3767.821
Super built-up  Area,Indira Nagar,2,1260.0,2,2,100.0,344.0,7936.508
Super built-up  Area,Rayasandra,3,1555.0,3,2,75.17,516.0,4834.084
Super built-up  Area,Kaggadasapura,2,1225.0,2,2,48.0,344.0,3918.367
Super built-up  Area,Electronics City Phase 1,2,1085.0,2,1,46.0,344.0,4239.631
Built-up  Area,Thanisandra,3,1595.0,3,1,110.0,516.0,6896.552
Super built-up  Area,Raja Rajeshwari Nagar,2,1196.0,2,2,40.44,344.0,3381.271
Super built-up  Area,Yelahanka,3,1859.0,3,1,108.0,516.0,5809.575
Super built-up  Area,9th Phase JP Nagar,2,1079.0,2,1,60.0,344.0,5560.704
Built-up  Area,Shivaji Nagar,2,550.0,1,1,27.0,304.0,4909.091
Super built-up  Area,Whitefield,2,1118.0,2,1,42.0,344.0,3756.708
Super built-up  Area,CV Raman Nagar,2,1198.0,2,2,60.0,344.0,5008.347
Super built-up  Area,Thigalarapalya,3,1830.0,4,2,135.0,556.0,7377.049
Super built-up  Area,Banashankari Stage VI,2,1160.0,2,1,59.0,344.0,5086.207
Super built-up  Area,Ejipura,3,2070.0,3,3,135.0,516.0,6521.739
Built-up  Area,Kannamangala,2,957.0,2,0,52.5,344.0,5485.893
Super built-up  Area,Bannerghatta Road,2,1268.0,2,1,69.0,344.0,5441.64
Super built-up  Area,Bannerghatta Road,3,1450.0,2,2,87.0,476.0,6000.0
Built-up  Area,Manorayana Palya,3,1600.0,2,2,75.0,476.0,4687.5
Super built-up  Area,Uttarahalli,3,1330.0,2,1,57.0,476.0,4285.714
Super built-up  Area,Jakkur,3,1355.0,2,2,65.0,476.0,4797.048
Super built-up  Area,Horamavu Banaswadi,2,1272.0,2,2,51.5,344.0,4048.742
Super built-up  Area,Abbaiah Reddy Layout,2,1100.0,2,1,38.49,344.0,3499.091
Super built-up  Area,Sarjapur  Road,3,1220.0,3,2,58.0,516.0,4754.098
Super built-up  Area,Chikkalasandra,2,1075.0,2,1,46.76,344.0,4349.767
Super built-up  Area,Lingarajapuram,2,800.0,2,1,55.0,344.0,6875.0
Super built-up  Area,Vasanthapura,2,995.0,2,1,34.82,344.0,3499.497
Built-up  Area,Vasantha Vallabha Nagar,2,900.0,1,1,44.0,304.0,4888.889
Super built-up  Area,Haralur Road,2,1140.0,2,1,42.0,344.0,3684.211
Super built-up  Area,Ganga Nagar,3,1480.0,2,2,125.0,476.0,8445.946
Super built-up  Area,Padmanabhanagar,3,1710.0,2,2,90.63,476.0,5300.0
Super built-up  Area,Talaghattapura,3,2106.0,3,3,148.0,516.0,7027.54
Super built-up  Area,Sarjapur  Road,3,1660.0,2,2,116.0,476.0,6987.952
Super built-up  Area,Electronic City Phase II,3,1549.0,3,2,80.0,516.0,5164.622
Super built-up  Area,Marathahalli,1,700.0,1,1,38.0,172.0,5428.571
Super built-up  Area,Balagere,2,1012.0,2,1,64.0,344.0,6324.111
Super built-up  Area,Marathahalli,3,1469.0,3,1,89.0,516.0,6058.543
Super built-up  Area,Whitefield,2,1216.0,2,1,69.0,344.0,5674.342
Super built-up  Area,Electronic City Phase II,2,1065.0,2,1,56.13,344.0,5270.423
Super built-up  Area,Thanisandra,3,1411.0,3,1,93.15,516.0,6601.701
